候选编号,原始名称,原始CAS,原始货号,查询方式,PubChem CID,PubChem标准名称,Isomeric SMILES,Canonical SMILES,InChI,InChIKey,分子式,查询来源,查询时间,匹配状态,冲突说明,自动匹配或人工确认,是否为盐,是否为水合物或溶剂化物,是否为混合物,未定义立体结构,缓存主键
#0640,"2,3-Dimethyl-1-phenyl-5-pyrazolone",60-80-0,D1876,CAS,2206,"1,5-dimethyl-2-phenylpyrazol-3-one",CC1=CC(=O)N(N1C)C2=CC=CC=C2,CC1=CC(=O)N(N1C)C2=CC=CC=C2,"InChI=1S/C11H12N2O/c1-9-8-11(14)13(12(9)2)10-6-4-3-5-7-10/h3-8H,1-2H3",VEQOALNAAJBPNY-UHFFFAOYSA-N,C11H12N2O,PubChem PUG REST,2026-08-04T16:27:36.827383+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:60-80-0
#0679,"2,4-Diaminopyrimidine",156-81-0,D2120,CAS,67431,"pyrimidine-2,4-diamine",C1=CN=C(N=C1N)N,C1=CN=C(N=C1N)N,"InChI=1S/C4H6N4/c5-3-1-2-7-4(6)8-3/h1-2H,(H4,5,6,7,8)",YAAWASYJIRZXSZ-UHFFFAOYSA-N,C4H6N4,PubChem PUG REST,2026-08-04T16:30:01.665970+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:156-81-0
#0712,Cetirizine Dihydrochloride,83881-52-1,C2316,CAS,55182,2-[2-[4-[(4-chlorophenyl)-phenylmethyl]piperazin-1-yl]ethoxy]acetic acid;dihydrochloride,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl,"InChI=1S/C21H25ClN2O3.2ClH/c22-19-8-6-18(7-9-19)21(17-4-2-1-3-5-17)24-12-10-23(11-13-24)14-15-27-16-20(25)26;;/h1-9,21H,10-16H2,(H,25,26);2*1H",PGLIUCLTXOYQMV-UHFFFAOYSA-N,C21H27Cl3N2O3,PubChem PUG REST,2026-08-04T16:32:04.089893+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,是,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:83881-52-1
#0716,Cytarabine,147-94-4,C2035,CAS,6253,"4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one",C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,"InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7+,8-/m1/s1",UHDGCWIWMRVCDJ-CCXZUQQUSA-N,C9H13N3O5,PubChem PUG REST,2026-08-04T16:32:18.647466+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:147-94-4
#0777,2-Aminoethyl Diphenylborinate,524-95-8,D0281,CAS,1598,2-diphenylboranyloxyethanamine,B(C1=CC=CC=C1)(C2=CC=CC=C2)OCCN,B(C1=CC=CC=C1)(C2=CC=CC=C2)OCCN,"InChI=1S/C14H16BNO/c16-11-12-17-15(13-7-3-1-4-8-13)14-9-5-2-6-10-14/h1-10H,11-12,16H2",BLZVCIGGICSWIG-UHFFFAOYSA-N,C14H16BNO,PubChem PUG REST,2026-08-04T16:35:22.474490+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:524-95-8
#0827,"2,4-Diamino-6-diethylamino-1,3,5-triazine",2073-31-6,D0512,CAS,326489,"2-N,2-N-diethyl-1,3,5-triazine-2,4,6-triamine",CCN(CC)C1=NC(=NC(=N1)N)N,CCN(CC)C1=NC(=NC(=N1)N)N,"InChI=1S/C7H14N6/c1-3-13(4-2)7-11-5(8)10-6(9)12-7/h3-4H2,1-2H3,(H4,8,9,10,11,12)",LLOVZIWCKUWRTA-UHFFFAOYSA-N,C7H14N6,PubChem PUG REST,2026-08-04T16:38:53.299483+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:2073-31-6
#0847,"Disodium 3-Hydroxy-2,7-naphthalenedisulfonate",135-51-3,N0029,CAS,8673,"disodium;3-hydroxynaphthalene-2,7-disulfonate",C1=CC(=CC2=CC(=C(C=C21)O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],C1=CC(=CC2=CC(=C(C=C21)O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],"InChI=1S/C10H8O7S2.2Na/c11-9-4-6-1-2-8(18(12,13)14)3-7(6)5-10(9)19(15,16)17;;/h1-5,11H,(H,12,13,14)(H,15,16,17);;/q;2*+1/p-2",VNEBWJSWMVTSHK-UHFFFAOYSA-L,C10H6Na2O7S2,PubChem PUG REST,2026-08-04T16:40:25.414176+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,是,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:135-51-3
#0958,alpha-D-Galacturonic Acid Hydrate,91510-62-2,G0010,化学名称,,,,,,,,PubChem PUG REST,2026-08-04T16:48:02.260668+00:00,待人工确认,多个CID,人工确认,否,是,否,未见显式立体标记（不等于存在手性未定义）,CAS:91510-62-2
#1007,Isonicotinic Acid Hydrazide,54-85-3,I0138,CAS,3767,pyridine-4-carbohydrazide,C1=CN=CC=C1C(=O)NN,C1=CN=CC=C1C(=O)NN,"InChI=1S/C6H7N3O/c7-9-6(10)5-1-3-8-4-2-5/h1-4H,7H2,(H,9,10)",QRXWMOHMRWLFEY-UHFFFAOYSA-N,C6H7N3O,PubChem PUG REST,2026-08-04T16:51:17.165790+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:54-85-3
#1050,2-Hydrazinopyridine,4930-98-7,H0888,CAS,78645,pyridin-2-ylhydrazine,C1=CC=NC(=C1)NN,C1=CC=NC(=C1)NN,"InChI=1S/C5H7N3/c6-8-5-3-1-2-4-7-5/h1-4H,6H2,(H,7,8)",NWELCUKYUCBVKK-UHFFFAOYSA-N,C5H7N3,PubChem PUG REST,2026-08-04T16:53:43.250598+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:4930-98-7
#1101,Pyranine,6358-69-6,P0802,CAS,61388,"trisodium;8-hydroxypyrene-1,3,6-trisulfonate",C1=CC2=C3C(=C(C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])C=CC4=C(C=C(C1=C43)O)S(=O)(=O)[O-].[Na+].[Na+].[Na+],C1=CC2=C3C(=C(C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])C=CC4=C(C=C(C1=C43)O)S(=O)(=O)[O-].[Na+].[Na+].[Na+],"InChI=1S/C16H10O10S3.3Na/c17-11-5-12(27(18,19)20)8-3-4-10-14(29(24,25)26)6-13(28(21,22)23)9-2-1-7(11)15(8)16(9)10;;;/h1-6,17H,(H,18,19,20)(H,21,22,23)(H,24,25,26);;;/q;3*+1/p-3",KXXXUIKPSVVSAW-UHFFFAOYSA-K,C16H7Na3O10S3,PubChem PUG REST,2026-08-04T16:57:02.735077+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,是,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:6358-69-6
#1118,N-Phenyldiethanolamine,120-07-0,P0187,CAS,8416,2-[N-(2-hydroxyethyl)anilino]ethanol,C1=CC=C(C=C1)N(CCO)CCO,C1=CC=C(C=C1)N(CCO)CCO,"InChI=1S/C10H15NO2/c12-8-6-11(7-9-13)10-4-2-1-3-5-10/h1-5,12-13H,6-9H2",OJPDDQSCZGTACX-UHFFFAOYSA-N,C10H15NO2,PubChem PUG REST,2026-08-04T16:58:05.712588+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:120-07-0
#1144,2-Pyridinecarboxylic Acid Hydrazide,1452-63-7,P0426,CAS,255881,pyridine-2-carbohydrazide,C1=CC=NC(=C1)C(=O)NN,C1=CC=NC(=C1)C(=O)NN,"InChI=1S/C6H7N3O/c7-9-6(10)5-3-1-2-4-8-5/h1-4H,7H2,(H,9,10)",BAQLNPIEFOYKNB-UHFFFAOYSA-N,C6H7N3O,PubChem PUG REST,2026-08-04T17:00:14.300975+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:1452-63-7
#1153,Parabanic Acid,120-89-8,P0195,CAS,67126,"imidazolidine-2,4,5-trione",C1(=O)C(=O)NC(=O)N1,C1(=O)C(=O)NC(=O)N1,"InChI=1S/C3H2N2O3/c6-1-2(7)5-3(8)4-1/h(H2,4,5,6,7,8)",ZFLIKDUSUDBGCD-UHFFFAOYSA-N,C3H2N2O3,PubChem PUG REST,2026-08-04T17:00:50.417838+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:120-89-8
#1203,D-Glucuronic Acid,6556-12-3,G0302,CAS,94715,"(2S,3S,4S,5R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",C1(C(C(OC(C1O)O)C(=O)O)O)O,C1(C(C(OC(C1O)O)C(=O)O)O)O,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2-,3+,4-,6?/m0/s1",AEMOLEFTQBMNLQ-AQKNRBDQSA-N,C6H10O7,PubChem PUG REST,2026-08-04T17:04:19.020414+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:6556-12-3
#1243,Hexamethylenetetramine,100-97-0,H0093,CAS,4101,"1,3,5,7-tetrazatricyclo[3.3.1.13,7]decane",C1N2CN3CN1CN(C2)C3,C1N2CN3CN1CN(C2)C3,InChI=1S/C6H12N4/c1-7-2-9-4-8(1)5-10(3-7)6-9/h1-6H2,VKYKSIONXSXAKP-UHFFFAOYSA-N,C6H12N4,PubChem PUG REST,2026-08-04T17:06:55.323084+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:100-97-0
#1245,Guanylthiourea,2114-02-5,G0234,CAS,2724563,diaminomethylidenethiourea,C(=NC(=S)N)(N)N,C(=NC(=S)N)(N)N,"InChI=1S/C2H6N4S/c3-1(4)6-2(5)7/h(H6,3,4,5,6,7)",OKGXJRGLYVRVNE-UHFFFAOYSA-N,C2H6N4S,PubChem PUG REST,2026-08-04T17:07:03.399096+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:2114-02-5
#1318,Methylenediphosphonic Acid,1984-15-2,M0843,CAS,16124,phosphonomethylphosphonic acid,C(P(=O)(O)O)P(=O)(O)O,C(P(=O)(O)O)P(=O)(O)O,"InChI=1S/CH6O6P2/c2-8(3,4)1-9(5,6)7/h1H2,(H2,2,3,4)(H2,5,6,7)",MBKDYNNUVRNNRF-UHFFFAOYSA-N,CH6O6P2,PubChem PUG REST,2026-08-04T17:11:48.345991+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:1984-15-2
#1415,Uridine,58-96-8,U0020,CAS,6029,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione",C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1",DRTQHJPVMGBUCF-XVFCMESISA-N,C9H12N2O6,PubChem PUG REST,2026-08-04T17:17:57.467612+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:58-96-8
#1423,Urazole,3232-84-6,U0045,CAS,72916,"1,2,4-triazolidine-3,5-dione",C1(=O)NC(=O)NN1,C1(=O)NC(=O)NN1,"InChI=1S/C2H3N3O2/c6-1-3-2(7)5-4-1/h(H3,3,4,5,6,7)",UDATXMIGEVPXTR-UHFFFAOYSA-N,C2H3N3O2,PubChem PUG REST,2026-08-04T17:18:25.903834+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:3232-84-6
#1479,D-(-)-Quinic Acid,77-95-2,Q0009,CAS,6508,"trans-(3R,5R)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid",C1C(C(C(CC1(C(=O)O)O)O)O)O,C1C(C(C(CC1(C(=O)O)O)O)O)O,"InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)/t3-,4-,5?,7?/m1/s1",AAWZDTNXLSGCEK-LNVDRNJUSA-N,C7H12O6,PubChem PUG REST,2026-08-04T17:21:49.937475+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:77-95-2
#1532,Thiourea,62-56-6,T2475,CAS,2723790,thiourea,C(=S)(N)N,C(=S)(N)N,"InChI=1S/CH4N2S/c2-1(3)4/h(H4,2,3,4)",UMGDCJDMYOKAJW-UHFFFAOYSA-N,CH4N2S,PubChem PUG REST,2026-08-04T17:25:03.650678+00:00,已匹配,,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:62-56-6
#1534,Gluconic Acid,526-95-4,G0036,CAS,10690,"(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoic acid",C(C(C(C(C(C(=O)O)O)O)O)O)O,C(C(C(C(C(C(=O)O)O)O)O)O)O,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3-,4+,5-/m1/s1",RGHNJXZEOKUKBD-SQOUGZDYSA-N,C6H12O7,PubChem PUG REST,2026-08-04T17:25:13.865586+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:526-95-4
#1558,2-Amino-3-cyanothiophene,4651-82-5,A2488,CAS,736607,2-aminothiophene-3-carbonitrile,C1=CSC(=C1C#N)N,C1=CSC(=C1C#N)N,"InChI=1S/C5H4N2S/c6-3-4-1-2-8-5(4)7/h1-2H,7H2",XVGHZFWFGXDIOU-UHFFFAOYSA-N,C5H4N2S,PubChem PUG REST,2026-08-04T17:26:48.032215+00:00,已匹配,CAS/名称与返回标准名称可能为同义命名，需审核,自动匹配,否,否,否,未见显式立体标记（不等于存在手性未定义）,CAS:4651-82-5
